Gamma,Seed,Horizon,MAE,SMAPE,RMSE,PICoverage,CalPIScale,CalPIWidth,CalPICoverage,Baseline_MAE,Baseline_SMAPE,Baseline_RMSE
1.5,42,250,118.8702877463535,24.635308628541587,310.58857240594773,0.5365698464290014,2.087327229914901,388.6997905104839,0.8031436482140708,131.250998530247,22.1890145513318,370.16366077322436
2.0,42,20,78.09859564313234,13.92644195613789,219.8915741390257,0.5723400230442484,1.3597893570997903,146.75951190282996,0.6691774579098523,24.21243959450349,9.796574044745402,68.07111884131292
2.0,42,60,95.82774928868726,20.264685110664843,253.61703766831548,0.5688661885844984,1.3734439928091307,211.07994842389303,0.6821785413334709,47.894818989211146,17.03479422966747,126.49418002697287
2.0,42,120,100.67689056052197,22.600267176577532,265.2002331140254,0.5823315964161034,1.3605499718514429,241.5007456504727,0.7106227106227107,79.35004684325393,20.419586364754704,207.84288787526748
2.0,42,250,100.40782920865972,24.305776298492983,272.1385233766539,0.5612650260537585,1.464786526165078,277.60754671854687,0.742643897573475,131.250998530247,22.1890145513318,370.16366077322436
2.5,42,20,71.34063239515316,14.6747603346084,198.2968980000098,0.5740941374744192,1.5951725064380131,140.14908931824914,0.7273899809111076,24.21243959450349,9.796574044745402,68.07111884131292
2.5,42,60,90.43177213231073,21.007324380399748,234.45618363879493,0.5459939121910953,1.484264896502698,236.11530627650288,0.70159418046742,47.894818989211146,17.03479422966747,126.49418002697287
2.5,42,120,86.46007595207053,21.798962181685862,228.77749682730942,0.5510842834786497,1.4595246076534754,252.80331757744884,0.7156442931090818,79.35004684325393,20.419586364754704,207.84288787526748
2.5,42,250,96.04888695706919,23.74394293469614,271.5912230943379,0.5373093260417204,1.6292721597054247,294.4841325101235,0.7328242962045779,131.250998530247,22.1890145513318,370.16366077322436
3.0,42,20,45.709849266007005,11.648394613802068,133.9465746254971,0.4886584464049253,2.6129365183884565,122.49804825889996,0.7619219591050577,24.21243959450349,9.796574044745402,68.07111884131292
3.0,42,60,54.23243786664564,18.164730459004005,141.7219522584734,0.49123802644929404,1.8386657267535436,174.89582996016057,0.70572150853841,47.894818989211146,17.03479422966747,126.49418002697287
3.0,42,120,61.032805823566775,19.35488328620445,156.37617735736617,0.4791140002407608,2.1254932802759137,232.0188226528133,0.7518959913326111,79.35004684325393,20.419586364754704,207.84288787526748
3.0,42,250,89.50675926114921,20.072437091771175,256.80591003505333,0.48828010799841787,2.5333182149794413,285.5994631397295,0.7812000206366404,131.250998530247,22.1890145513318,370.16366077322436
3.5,42,20,64.50169479139092,12.842844964947421,206.08906826905903,0.5986689366971057,1.8373926783971548,153.02589556639563,0.7546991349808251,24.21243959450349,9.796574044745402,68.07111884131292
3.5,42,60,74.43247702372089,20.2191906048412,210.80294786156435,0.42778035735782216,2.0865166810133444,217.51227352422453,0.7019037300727442,47.894818989211146,17.03479422966747,126.49418002697287
3.5,42,120,72.3227079339047,20.851893983552376,187.92203135135736,0.41005004385286076,2.4106124643675555,255.48291364272305,0.7485081428743401,79.35004684325393,20.419586364754704,207.84288787526748
3.5,42,250,73.66577790277861,19.07962566382787,217.91704427039124,0.4569640062597809,3.0642153700290793,343.4168785055994,0.8632134688472717,131.250998530247,22.1890145513318,370.16366077322436
3.5,43,20,47.99764638460347,11.689824001787818,140.06236720508414,0.4008839360952037,4.186444163179217,144.02243334439,0.7558341502003474,24.21243959450349,9.796574044745402,68.07111884131292
3.5,43,60,64.52071935645755,17.98175656439935,177.22067265592844,0.21536053930420127,5.342573228268821,179.69515137770762,0.708197905381004,47.894818989211146,17.03479422966747,126.49418002697287
3.5,43,120,65.45435021791879,19.17171312558938,174.10119468813025,0.182995408347521,6.530496006084023,222.574617499301,0.7484737484737485,79.35004684325393,20.419586364754704,207.84288787526748
3.5,43,250,79.4484703942292,19.209921451433797,230.54620699924524,0.15300349103166005,7.909341365908825,271.9443829067993,0.8139778844004196,131.250998530247,22.1890145513318,370.16366077322436
4.0,42,20,37.197201017498884,10.766559246865539,104.40596496649795,0.29603260589176084,10.613126151791839,183.9431503450548,0.8165230700441968,24.21243959450349,9.796574044745402,68.07111884131292
4.0,42,60,51.16364883515268,17.385828334374786,129.82070082193945,0.16920325371029596,15.307902822882392,270.48328246123685,0.7734268861029424,47.894818989211146,17.03479422966747,126.49418002697287
4.0,42,120,67.73839659294626,19.930941176631293,172.1274770891405,0.13212608987256874,18.10946911324436,322.06308402915084,0.7527558513474006,79.35004684325393,20.419586364754704,207.84288787526748
4.0,42,250,109.58758882821907,21.200492388995148,307.40021378726055,0.11793839962854047,25.48970874737891,482.86657740452193,0.8670828389138249,131.250998530247,22.1890145513318,370.16366077322436
4.0,43,20,37.678148660708025,10.817301582234283,104.67860247515304,0.32028065830882735,8.120793894738064,173.7435284365115,0.7786204405922715,24.21243959450349,9.796574044745402,68.07111884131292
4.0,43,60,50.53250678926673,17.12514135293205,128.26978663309959,0.18552339679100244,10.030910999728906,215.18103075575357,0.7130303186641215,47.894818989211146,17.03479422966747,126.49418002697287
4.0,43,120,67.09400770372297,19.585721146337445,170.78361548220028,0.13207449827168136,12.651170206545656,272.0470662698356,0.7512940893222584,79.35004684325393,20.419586364754704,207.84288787526748
4.0,43,250,105.5790626044054,21.005235372628544,302.5806525206695,0.11850590723830161,18.169678101000635,395.8015308073999,0.8788285267158507,131.250998530247,22.1890145513318,370.16366077322436
4.0,44,20,34.37688068972792,10.662132199112213,94.04168441816864,0.33145883850109203,9.338825387052156,205.90666740260315,0.8280967858432647,24.21243959450349,9.796574044745402,68.07111884131292
