pid,group,train_mean,last_price,gap_pct
W11031,เนื้อสัตว์,2.898541826554106,3.84,32.48040669349714
W11032,เนื้อสัตว์,2.699309286262471,3.6399999999999997,34.84931195268964
W11033,เนื้อสัตว์,2.4980046047582505,3.44,37.70991428308088
W11042,เนื้อสัตว์,59.40445126630852,64.2,8.072709420701775
W11043,เนื้อสัตว์,54.0752110514198,56.0,3.55946636389441
W11044,เนื้อสัตว์,51.707597851112816,67.2,29.961558441558452
W11045,เนื้อสัตว์,73.90099769762088,87.0,17.72506828118346
W11046,เนื้อสัตว์,62.920951650038376,71.0,12.83999707267094
W11047,เนื้อสัตว์,50.76515732924022,50.0,-1.5072490060017891
W11048,เนื้อสัตว์,39.71143514965464,45.0,13.317486085343235
W11049,เนื้อสัตว์,68.50038372985418,85.0,24.08689611902842
W11050,เนื้อสัตว์,16.01151189562548,17.0,6.173608781095729
W11056,เนื้อสัตว์,63.76822716807368,64.0,0.36346130701648366
W11057,เนื้อสัตว์,16.65993092862625,72.0,332.17466091821905
W11058,เนื้อสัตว์,13.480974673829623,49.8,269.4094915605461
W12001,สัตว์น้ำ,178.92555640828857,175.0,-2.193960710302826
W12002,สัตว์น้ำ,169.76976208749042,140.0,-17.535373626870403
W12003,สัตว์น้ำ,152.15656178050654,130.0,-14.561686674064367
W12004,สัตว์น้ำ,143.4228702993093,120.0,-16.331335616438363
W12005,สัตว์น้ำ,132.2678434382195,115.0,-13.055209028402338
W12012,สัตว์น้ำ,43.039140445126634,40.0,-7.061340941512133
W12013,สัตว์น้ำ,35.45663852647736,34.0,-4.108225108225116
W12019,สัตว์น้ำ,71.29700690713737,70.0,-1.819160387513452
W13001,ผักสด,18.858019953952418,10.0,-46.97216343805958
W13002,ผักสด,15.466615502686109,23.0,48.707388478142214
W13003,ผักสด,13.78050652340752,15.0,8.849409668077525
W13004,ผักสด,31.93630084420568,24.0,-24.850407324634126
W13005,ผักสด,17.32386799693016,15.0,-13.414255969521111
W13006,ผักสด,13.590176515732924,20.0,47.16512310819968
W13007,ผักสด,26.14581734458941,20.0,-23.505929317834923
W13008,ผักสด,21.079048349961628,20.0,-5.119056287773979
W13009,ผักสด,23.21795855717575,25.0,7.675271873863748
W13010,ผักสด,19.656945510360707,20.0,1.7452075118104045
W13011,ผักสด,16.172678434382195,19.0,17.482086081715938
W13012,ผักสด,33.37298541826554,39.0,16.860986547085194
W13013,ผักสด,14.0,24.0,71.42857142857143
W13014,ผักสด,8.560245587106676,8.0,-6.544737313968076
W13015,ผักสด,13.499616270145818,10.0,-25.923820352473
W13016,ผักสด,111.39677666922486,140.0,25.67688598002067
W13017,ผักสด,31.01918649270913,35.0,12.833391063387603
W13018,ผักสด,85.95165003837299,80.0,-6.924416268583422
W13019,ผักสด,54.14811972371451,30.0,-44.59641414499327
W13020,ผักสด,36.91864927091328,80.0,116.69265149152895
W13021,ผักสด,39.68534151957022,80.0,101.58576677625217
W13022,ผักสด,63.871834228702994,96.0,50.30099128867528
W13023,ผักสด,13.938603223330775,20.0,43.48640017619205
W13024,ผักสด,69.48580199539524,68.0,-2.138281422575648
W13025,ผักสด,2.2671143514965464,1.75,-22.809363416326736
W13026,ผักสด,1.4644282425172679,0.75,-48.78547284018552
W13027,ผักสด,43.357636224098236,35.0,-19.276042127621917
W13028,ผักสด,41.208749040675364,125.0,203.3336437284663
W13029,ผักสด,91.10897927858787,45.0,-50.6086004296003
W13030,ผักสด,143.1926323867997,85.0,-40.63940400900418
W13031,ผักสด,10.172678434382195,8.8,-13.493775933609955
