product_id,model_name,paradigm,MAE,RMSE,SMAPE
P11038,random_forest,local,13.28667707565773,18.214327097267464,8.92586881968315
P11038,mlp,local,12.963692320659485,15.4840021810984,8.912229508483232
P11038,lstm,local,8.75298376956702,11.102739727543522,6.392374167469955
P11038,gru,local,7.810244449154363,10.140786904319068,5.700335717432279
P13001,baseline,local,6.758241758241759,8.96466994969392,24.283931160881544
P13001,arima,local,6.7593603595531535,8.96540869256123,24.288126175819315
P13001,lightgbm,local,6.199347283910516,8.05025030431417,22.020540091389204
P13001,random_forest,local,6.249506427300546,8.257743892844147,22.002831756589707
P13001,mlp,local,6.616605857877067,8.16866812672178,23.908906467705645
P13001,lstm,local,6.31914799449208,7.678181156920404,23.32127181612136
P13001,gru,local,6.345745947422126,7.629958913146282,23.39314365815605
P13002,baseline,local,7.4974358974358974,9.818235379619797,19.730590712577083
P13002,arima,local,7.5068825697927455,9.824421313052143,19.755157176292265
P13002,lightgbm,local,6.890872402976005,8.699838766520584,17.982626762489467
P13002,random_forest,local,6.926891952880615,8.913160142930954,18.03837611803805
P13002,mlp,local,7.677210487114205,9.102766671262652,20.2630807787427
P13002,lstm,local,7.870473986056261,9.047803764746496,21.046932338608087
P13002,gru,local,7.186102473779476,8.507567065614149,19.306534272422063
P13003,baseline,local,5.172161172161172,7.216708007827481,17.554648106867525
P13003,arima,local,5.198418263994225,7.230483027309471,17.65026932300256
P13003,lightgbm,local,5.286230898170132,7.075124554835678,17.66717744199813
P13003,random_forest,local,5.349511517348387,7.19113473252907,17.63202726961618
P13003,mlp,local,4.588598276494624,5.963808187481651,15.77084250719364
P13003,lstm,local,4.591143207759648,5.958765400496,15.881541492063544
P13003,gru,local,4.674736038319794,6.089990241703114,16.214343271031353
P13004,baseline,local,5.112087912087912,7.234546663397317,12.886856217282444
P13004,arima,local,5.113868063900111,7.231773184926131,12.891629560273952
P13004,lightgbm,local,5.276266309843974,7.108098976627763,12.94820041729218
P13004,random_forest,local,5.963329730795342,8.184751722356424,14.191110105814658
P13004,mlp,local,4.718931349031218,6.200491878467113,11.904112737566336
P13004,lstm,local,5.030711585523444,6.33634675173102,12.757284918058978
P13004,gru,local,4.507761633177816,5.968414802479894,11.46687804107739
P13005,baseline,local,4.52014652014652,6.528699929047768,18.71937504504831
P13005,arima,local,4.530779551700759,6.517786401352213,18.769253857187508
P13005,lightgbm,local,4.370131344233726,5.66487977118279,18.88177774432329
P13005,random_forest,local,4.217976586337814,5.6385895732143485,18.132217021057887
P13005,mlp,local,3.846277183840127,5.211091614511117,16.73829743333574
P13005,lstm,local,3.933349923773126,5.356769595173792,17.023788529482026
P13005,gru,local,4.039014208447802,5.353068426052522,17.61391575258192
P13006,baseline,local,4.830769230769231,6.677889408228533,14.295657936906585
P13006,arima,local,4.835924925135095,6.671950369422189,14.312212673869372
P13006,lightgbm,local,4.779053723316112,6.007272237511112,14.533742346309252
P13006,random_forest,local,4.639203525791937,5.836849363349391,14.052257592614808
P13006,mlp,local,4.243435456551912,5.524485417973759,12.921720387558818
P13006,lstm,local,4.582084870949769,5.876878149944547,13.928527282266456
P13006,gru,local,4.337738657521678,5.625883494686214,13.19730508120276
P13007,baseline,local,16.743589743589745,22.27216384368344,31.354627700020803
P13007,arima,local,16.813196054360226,22.31558318028413,31.4918451260419
P13007,lightgbm,local,11.95902170577574,16.000074188308567,24.316291270982184
P13007,random_forest,local,11.98650686870555,15.844865150765,24.651614554012923
P13007,mlp,local,11.654066952156931,15.29110196211908,23.878128430796657
P13007,lstm,local,12.601015348050185,16.69222682524578,25.319407408692296
P13007,gru,local,12.489011778499618,16.57642294415,25.580139643952094
P13008,baseline,local,18.18681318681319,23.48705187888396,27.39509562960266
P13008,arima,local,18.2515967219417,23.543488078294097,27.494015113701828
P13008,lightgbm,local,13.628627316286378,18.14799493749097,21.720050657896078
P13008,random_forest,local,13.939411091773454,18.332256713949185,22.368312184960764
P13008,mlp,local,13.773992059169672,18.115923606355647,22.07754583291411
P13008,lstm,local,14.497144778744206,18.94623574901569,23.178032675886328
P13008,gru,local,13.490743593767888,17.851587914055976,21.32432036315347
P13009,baseline,local,5.131868131868131,7.707504104894679,16.922982799392006
P13009,arima,local,5.142174286893875,7.700806882630192,16.961055388985944
P13009,lightgbm,local,3.926475937229693,5.2910020086204055,13.640441728501337
P13009,random_forest,local,3.8338763717056,5.217518052249386,13.45217533494043
P13009,mlp,local,4.287582415626162,5.981978566355904,14.713429344645482
P13009,lstm,local,4.4557625808995285,6.080441585190807,15.365348650609883
P13009,gru,local,4.234950046748906,5.648092978564901,14.639751922001262
P13010,baseline,local,5.294505494505495,7.962062103718003,13.056056849236606
P13010,arima,local,5.306552233530889,7.9556608573509875,13.08924993590986
P13010,lightgbm,local,4.021151444957569,5.570330132429488,10.220585725469052
P13010,random_forest,local,4.45924750644288,6.103860316408528,11.303851082168569
P13010,mlp,local,4.389929847577553,5.752631360181526,11.26636408329866
P13010,lstm,local,4.76206155714098,6.20081831702603,12.171769452733578
P13010,gru,local,4.489165737166073,5.983889513372654,11.4826847026179
P13011,baseline,local,5.043223443223444,6.685880884020723,18.94450841163309
P13011,arima,local,5.046160790236619,6.6795197345303,18.959116531441424
P13011,lightgbm,local,4.100229890881812,4.9498416977578,15.932439950717072
P13011,random_forest,local,4.365523396035776,5.232277049617626,16.87688898604383
P13011,mlp,local,4.684226236587916,5.471518410404588,17.92440490399091
P13011,lstm,local,4.889604476257995,5.645834123106802,18.80631415926105
P13011,gru,local,4.468019669920534,5.363889315949037,17.282328933248245
P13012,baseline,local,5.712820512820512,7.22005548717719,16.094560840050676
P13012,arima,local,5.714918403632401,7.215715360155386,16.101577660518554
P13012,lightgbm,local,4.55516858330331,5.623733577979539,13.077102865571726
P13012,random_forest,local,4.693811409168439,5.777896566351863,13.447208360033835
P13012,mlp,local,5.606849290337754,6.68007102336872,15.861983215504171
P13012,lstm,local,5.409380269312597,6.368294153220159,15.501050808464592
P13012,gru,local,5.149649064619463,6.121119651420545,14.798976299819753
P13013,baseline,local,8.937728937728938,11.013715693847626,21.17501556377087
P13013,arima,local,8.948916660401174,11.008791321231987,21.201746744727224
P13013,lightgbm,local,6.762014831429855,8.4568661689125,16.96949678444458
P13013,random_forest,local,7.139176548971368,8.927200820214413,18.0477114185147
P13013,mlp,local,7.62020628233969,9.076850661097197,18.422292717110423
P13013,lstm,local,8.016064432165127,9.69368782381191,19.908954407222797
P13013,gru,local,7.573068673270089,9.234116413028527,18.68397472132139
P13014,baseline,local,9.992673992673993,12.372526415460664,18.270248346814785
P13014,arima,local,10.002369368816789,12.368111181549684,18.289609544341605
P13014,lightgbm,local,7.255771337291127,9.489205409686878,13.541252832104684
P13014,random_forest,local,7.720997011942077,10.043449129526454,14.409648924898642
P13014,mlp,local,8.250829195015594,10.030473666294665,15.329609051487967
P13014,lstm,local,7.39960209214207,9.324480608411085,13.786823650906816
P13014,gru,local,7.526883499089616,9.508782511726396,13.949954494388422
P13015,baseline,local,8.912087912087912,13.11622210167107,21.60563984122659
P13015,arima,local,8.919576261585696,13.113139090720926,21.625292531992677
P13015,lightgbm,local,7.006609862949176,10.02573987434486,18.11440827622804
P13015,random_forest,local,7.287819408138932,10.038657865853908,18.937958643257453
P13015,mlp,local,7.580478453024838,9.847767307028985,19.956471773308383
P13015,lstm,local,7.367902674692454,10.345371138302632,19.09377287350205
P13015,gru,local,7.230233970055214,9.866854447847414,18.762105931208136
P13016,baseline,local,10.216849816849816,14.808368895783214,19.513705188800557
P13016,arima,local,10.216922538232255,14.808389210495749,19.513851454201426
P13016,lightgbm,local,8.4342457580477,11.71718638584546,17.066647235428302
P13016,random_forest,local,8.303051808397537,11.334297077903647,16.77749208665444
P13016,mlp,local,8.75201432783525,11.22863036614542,17.671723980195768
P13016,lstm,local,8.84148725851988,11.731217454177004,17.86858695522291
P13016,gru,local,8.392588769821893,11.195044476842703,16.94527514498676
P13017,baseline,local,13.703296703296704,19.19556811612852,32.370424759662995
P13017,arima,local,13.707132628421842,19.1965079910654,32.380483327986255
P13017,lightgbm,local,11.87946013428423,15.68916652818246,29.17476085833487
P13017,random_forest,local,11.867266376892996,15.566960552313947,29.284359353943945
P13017,mlp,local,8.884351905012306,12.160429003820248,23.74840062123216
P13017,lstm,local,9.618797047932942,13.379647773791095,25.04394839634224
P13017,gru,local,9.560418224684048,13.026213393811858,25.46987273516824
P13018,baseline,local,15.586080586080584,21.53880263976344,28.794952950458867
P13018,arima,local,15.587983307454044,21.53912498477859,28.7985878446335
P13018,lightgbm,local,13.922981248046046,18.395409815307797,26.3190485618708
P13018,random_forest,local,14.80931636598151,19.280758357101224,27.918839366728584
P13018,mlp,local,10.430331457228888,13.700905228120495,21.28681405672572
P13018,lstm,local,10.572878754444613,14.93118076108345,21.010000573989117
P13018,gru,local,10.616003070034823,14.475542627092452,21.21892421560913
P13019,baseline,local,8.948717948717949,13.8454952557093,23.723033064847424
P13019,arima,local,8.963109606361655,13.84106912152904,23.769580243474454
P13019,lightgbm,local,8.539017970484897,11.75776450214683,23.65489648768873
P13019,random_forest,local,8.699309470796376,12.05508106505241,23.855507375199508
P13019,mlp,local,7.437366787417903,10.52843103643432,21.36639812018608
P13019,lstm,local,7.353721372723143,10.992459990209914,21.34583639854721
P13019,gru,local,7.526626595298012,10.865825581349547,21.62963265255961
P13020,baseline,local,9.57948717948718,14.049726020182652,19.75877184228972
P13020,arima,local,9.591791242491984,14.044272901544744,19.788924170296845
P13020,lightgbm,local,8.884559359858395,12.003388596876942,18.87936869464433
P13020,random_forest,local,8.877420395306835,11.966432403328126,18.69774022360467
P13020,mlp,local,8.387223583962017,11.153037914573131,18.10408951065762
P13020,lstm,local,7.628165750189143,10.856665726615768,16.633043301982113
P13020,gru,local,7.724760643815818,10.838409751098348,16.815439015292178
P13021,baseline,local,6.677655677655679,9.37965715938132,20.7402172094801
P13021,arima,local,6.682554019701142,9.372750420073393,20.7582770775462
P13021,lightgbm,local,6.187081166363702,8.12005572804431,20.02774731089808
P13021,random_forest,local,6.525921396669929,8.358305813503398,20.942614283954143
P13021,mlp,local,5.560497795356499,7.54198237788984,18.201848341164062
