product_id,model_name,paradigm,horizon,MAE,RMSE,SMAPE
P11004,lstm,local,1,5.723417121412116,7.38869841331733,4.04385108806832
P11004,lstm,local,20,11.39134998810597,13.29226248856146,7.799976799527
P11004,lstm,local,60,7.181906060858087,9.356291185878026,4.909937771121324
P11004,lstm,local,120,11.789488740019744,12.668926817389307,7.737639583833304
P11004,lstm,local,250,12.176714607210824,15.739806575386028,7.868176789118224
P11004,gru,local,1,5.097972604381296,7.427104860823586,3.6373966864992338
P11004,gru,local,20,8.27739505977421,10.661666904497531,5.79130607973503
P11004,gru,local,60,7.0056661528982085,9.21316390191918,4.790972002130676
P11004,gru,local,120,9.18604996789506,10.484473218833326,6.04346861790022
P11004,gru,local,250,9.236658452631351,12.200411826533792,6.024012665228461
P11005,baseline,local,1,0.2014652014652014,1.0036563193274914,0.1107827459834147
P11005,baseline,local,20,3.809523809523809,6.037125677579227,2.097940801638576
P11005,baseline,local,60,6.336996336996337,8.108693837537322,3.436583927139373
P11005,baseline,local,120,8.424908424908425,11.419410247597307,4.463175071263238
P11005,baseline,local,250,11.025641025641026,13.259870882635918,5.956737851814538
P11005,arima,local,1,0.2196425128755956,1.0077332475351992,0.1207676206761941
P11005,arima,local,20,3.8113401749765385,6.025901149088996,2.098770086090374
P11005,arima,local,60,6.342445433354524,8.111544273928011,3.439597131650701
P11005,arima,local,120,8.433990252172071,11.42540955207057,4.468096256086652
P11005,arima,local,250,11.023824660188296,13.256819565773055,5.955879277365814
P11005,lightgbm,local,1,2.603584389369709,2.867618788947527,1.3994750301620291
P11005,lightgbm,local,20,17.963914104535814,19.5719436488123,9.277398461487536
P11005,lightgbm,local,60,19.39587215391693,23.07946625356665,9.98387555923056
P11005,lightgbm,local,120,17.461455571817226,20.213304873981517,8.746046794459323
P11005,lightgbm,local,250,14.598799188410048,17.9900292524747,7.577619978594264
P11005,random_forest,local,1,7.840293040293039,8.479417009471394,4.103443885127812
P11005,random_forest,local,20,22.38131868131868,23.957302526001214,11.361684972880369
P11005,random_forest,local,60,15.05018315018315,17.33962727375286,7.786924906379381
P11005,random_forest,local,120,18.668666570219838,22.01038517581929,9.282391694312324
P11005,random_forest,local,250,18.21222138941053,21.185260963502884,9.389546598165571
P11005,mlp,local,1,5.38248535826966,6.8501292346806855,2.9639634038391725
P11005,mlp,local,20,4.930993998880352,6.05096075926406,2.669277173398494
P11005,mlp,local,60,7.786854670597957,10.028267055789572,4.172854335033128
P11005,mlp,local,120,12.923199608212425,14.797082693327914,6.715442732187555
P11005,mlp,local,250,17.74006814921732,21.242203904833985,9.09837828233218
P11005,lstm,local,1,11.90182824885889,13.573308733110704,6.204490287572346
P11005,lstm,local,20,12.714683281196344,14.340284600778796,6.711843774877669
P11005,lstm,local,60,11.609603993621938,12.854537193804818,6.125503287361221
P11005,lstm,local,120,8.140935485616271,9.11841953210119,4.259104781950923
P11005,lstm,local,250,7.358909355415093,9.148479825114658,3.9182615773864105
P11005,gru,local,1,11.016268048967634,12.592639034722708,5.752634411033844
P11005,gru,local,20,10.99989262954656,13.256466580784076,5.7346513335699205
P11005,gru,local,60,10.50180875338041,12.262560719562254,5.556290182331487
P11005,gru,local,120,10.199136643182664,12.68345695809639,5.225527222638147
P11005,gru,local,250,19.316046969794527,22.72719225692953,9.896204924944294
P11011,baseline,local,1,0.0549450549450549,0.5241424183609592,0.060531489099581
P11011,baseline,local,20,0.4761904761904761,1.5430334996209192,0.537429108827337
P11011,baseline,local,60,1.2087912087912087,2.4584458594722083,1.3746870888946168
P11011,baseline,local,120,1.9963369963369964,3.245171109685209,2.274645131658387
P11011,baseline,local,250,2.490842490842491,3.5290526284276997,2.80933995203858
P11011,arima,local,1,0.0549450549985264,0.5241424183609592,0.0605314891579515
P11011,arima,local,20,0.4761904762083,1.5430334995631634,0.5374291088481973
P11011,arima,local,60,1.208791208809033,2.4584458594359577,1.374687088915477
P11011,arima,local,120,1.99633699635482,3.245171109657747,2.274645131679246
P11011,arima,local,250,2.490842490860315,3.5290526284024466,2.80933995205944
P11011,lightgbm,local,1,1.587425008540989,2.3859338785970468,1.815084581670959
P11011,lightgbm,local,20,5.335670817606214,6.453711769760676,5.755679089326152
P11011,lightgbm,local,60,5.075681027072633,6.081909595931129,5.483021526761556
P11011,lightgbm,local,120,15.99694549101292,17.327023475430217,19.84626368624328
P11011,lightgbm,local,250,14.55561335329131,16.34113831430103,17.909506952842847
P11011,random_forest,local,1,1.8084249084249089,2.505590818147557,2.0566650006432976
P11011,random_forest,local,20,6.4073260073260085,7.522503480096146,6.886680791431289
P11011,random_forest,local,60,6.100732600732601,7.821031568695705,6.470821747514829
P11011,random_forest,local,120,14.985714285714286,16.620111168042627,18.549605611056343
P11011,random_forest,local,250,13.77985347985348,15.437228442243834,16.826605367919196
P11011,mlp,local,1,2.4547680026882297,2.988374759061839,2.8183647049823684
P11011,mlp,local,20,8.72748543316628,8.93629862454585,10.37550850288163
P11011,mlp,local,60,7.439975305354639,7.744166911130002,8.710879759128451
P11011,mlp,local,120,13.526281056386647,13.628417643174124,16.263783249573507
P11011,mlp,local,250,16.842932956122652,17.283829823860728,20.58029104270817
P11011,lstm,local,1,2.587324708372682,3.0564193401177904,2.856311277297892
P11011,lstm,local,20,2.570560860546517,3.211577895001017,2.9040462692496045
P11011,lstm,local,60,2.481939210996523,2.86779585731236,2.791105093585824
P11011,lstm,local,120,2.404606382488768,2.884701474118438,2.7136078750571944
P11011,lstm,local,250,10.200599670410156,10.36306969310701,11.935980713592162
