Horizon,Gamma,SMAPE,MAE,RMSE,PIWidth,PICoverage,CalPIScale,CalPIWidth,CalPICoverage,Baseline_SMAPE,Baseline_MAE,Baseline_RMSE,Blend_Alpha,Blend_SMAPE,Blend_MAE,Blend_RMSE,Seed
1,1.5,3.0736365605231706,18.568449687346057,106.94184440812484,18.284224946211665,0.7831665034635331,1.0801348621415003,19.74942879164052,0.8100587531280601,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,1.5,12.309262742804837,49.45317965315558,179.2922753293978,78.68777825788982,0.6376437094258877,1.6961776669370785,133.4684521419297,0.8025242084648025,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,1.5,20.76126228731396,72.23817659971354,244.6224615646225,102.24938588180255,0.5646375077068146,1.7210632794818068,175.9776633907359,0.7718510862075219,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
120,1.5,22.47217295646911,72.97469673995494,239.90857388216375,110.01539802916176,0.5604848946433105,1.8853714046200984,207.41988551208,0.8027508794835527,18.23218891689393,51.02635797419413,194.64791725644417,0.0,18.23218891689393,51.02635797419413,194.64791725644417,42
250,1.5,22.311661688217228,71.2137643875501,231.34365338922305,118.86068789522736,0.5961175787908461,1.8650818005768564,221.68490579743445,0.8191437275595691,19.98081339073248,83.84053434086383,330.3949066329116,0.61,18.80719407908864,65.17955507057499,222.33754898324491,42
1,2.0,2.464435117871541,12.168775191114795,72.84103827828102,12.646176611259865,0.7905650455155405,0.7287166179541354,9.215479050207977,0.7351666485329852,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,2.0,12.029662353568646,51.05475504331974,212.9148914187142,66.56024839956085,0.6013038116998513,1.7426690437872183,115.99248443270244,0.7512512240235012,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,2.0,18.398944645457203,62.62700286698363,233.55690024448563,96.0377541633648,0.555996808472056,1.7513161734310505,168.19247212629597,0.7579062851340079,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
120,2.0,21.15571695690718,65.0536819903096,231.4544899134543,111.89838979719468,0.5552079933268053,1.55481810254667,173.98164210250192,0.7367352119827367,18.23218891689393,51.02635797419413,194.64791725644417,0.15,17.620649977400877,46.75933646475485,173.47946391795588,42
250,2.0,22.24696956134918,62.45478030851926,207.71966499609948,119.84545150849613,0.5453976716352954,1.6474384298055096,197.43800245248917,0.7794037645522794,19.98081339073248,83.84053434086383,330.3949066329116,0.6900000000000001,19.416978952424422,59.7230425093779,208.0673565749308,42
1,2.5,2.3657612682734994,11.455040831417811,68.03825554295578,14.049383359304224,0.795053131686795,0.8197328140668239,11.516740557026058,0.7578065498857578,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,2.5,12.302930876032208,44.75972593921669,165.7789017121257,54.79428288782907,0.5803503427265804,2.12813602023668,116.60968711662738,0.8038479672143038,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,2.5,19.879080340329963,59.10252642973674,215.47839684804995,98.93110324320848,0.5187230261487688,2.020761976743935,199.9162117512043,0.7722409603597722,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
120,2.5,21.41736631993167,56.83846717651305,201.5940587395254,108.45549543736423,0.504941428208755,1.7404628746512416,188.7627633606396,0.7396094005004896,18.23218891689393,51.02635797419413,194.64791725644417,0.22,17.384852601291712,44.64837174207749,165.4996939617643,42
250,2.5,21.932578561445908,60.30468436864309,207.4033168533421,113.74546190288864,0.5104359337032605,1.777081937543703,202.1350058251888,0.7697203786312697,19.98081339073248,83.84053434086383,330.3949066329116,0.6900000000000001,19.50666826453936,62.58911867353966,223.0941294462176,42
1,3.0,2.7263199152373363,14.036543215920094,80.64120504001431,10.398766772032996,0.712998222899213,0.9707637274360904,10.094745592357311,0.704076451601204,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,3.0,9.865843530113583,31.160708497876406,139.98354641655834,30.33501490409064,0.5438291081855439,3.234996400968301,98.133664038053,0.8325989192325826,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,3.0,15.981685099301876,38.24029995632581,142.97499976272647,60.61074426548554,0.5183966198817684,2.297487691555741,139.2524389259858,0.7864849671780365,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
